Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Landsize_log,BuildingArea_log,Age
Abbotsford,2.0,h,1480000.0,S,Biggin,3/12/2016,2.500000000000001,3067.0,2.0,1.0,1.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,5.313205979041787,4.664207179493335,114.22664486438862
Abbotsford,2.0,h,1035000.0,S,Biggin,4/02/2016,2.500000000000001,3067.0,2.0,1.0,0.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,5.056245805348308,4.382026634673881,118.0
Abbotsford,3.0,h,1465000.0,SP,Biggin,4/03/2017,2.500000000000001,3067.0,3.0,2.0,0.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,4.90527477843843,5.017279836814924,118.0
Abbotsford,3.0,h,850000.0,PI,Biggin,4/03/2017,2.500000000000001,3067.0,3.0,2.0,1.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,4.553876891600541,4.651625733787579,25.927173985964146
Abbotsford,4.0,h,1600000.0,VB,Nelson,4/06/2016,2.500000000000001,3067.0,3.0,1.0,2.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,4.795790545596741,4.962844630259907,4.0
Abbotsford,2.0,h,941000.0,S,Jellis,7/05/2016,2.500000000000001,3067.0,2.0,1.0,0.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,5.204006687076795,4.490336246424354,119.46941755428429
Abbotsford,3.0,h,1876000.0,S,Nelson,7/05/2016,2.500000000000001,3067.0,4.0,2.0,0.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,5.5053315359323625,5.351858133476067,108.0
Abbotsford,2.0,h,1636000.0,S,Nelson,8/10/2016,2.500000000000001,3067.0,2.0,1.0,2.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,5.54907608489522,4.68213122712422,128.0
Abbotsford,1.0,u,300000.0,S,Biggin,8/10/2016,2.500000000000001,3067.0,1.0,1.0,1.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,6.838060443910051,3.9950953796418807,18.561485921037956
Abbotsford,2.0,h,1097000.0,S,Biggin,8/10/2016,2.500000000000001,3067.0,3.0,1.0,2.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,5.3981627015177525,4.330733340286331,118.0
Abbotsford,2.0,u,700000.0,VB,Jellis,12/11/2016,2.500000000000001,3067.0,2.0,2.0,1.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,5.934344097963214,4.574526588251083,19.763815404075103
Abbotsford,3.0,h,1350000.0,VB,Nelson,12/11/2016,2.500000000000001,3067.0,3.0,2.0,2.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,5.3706380281276624,5.25227342804663,13.0
Abbotsford,2.0,u,750000.0,S,Biggin,12/11/2016,2.500000000000001,3067.0,2.0,2.0,1.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,6.432398911155203,4.553876891600541,9.0
Abbotsford,2.0,h,1172500.0,S,Biggin,13/08/2016,2.500000000000001,3067.0,2.0,1.0,1.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,5.278114659230517,4.56440796252839,103.50492977412296
Abbotsford,1.0,u,441000.0,SP,Greg,14/05/2016,2.500000000000001,3067.0,1.0,1.0,1.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,6.923464265883466,3.9591650821803084,14.455466139548662
Abbotsford,2.0,h,1310000.0,S,Jellis,15/10/2016,2.500000000000001,3067.0,2.0,1.0,2.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,5.476463551931511,4.584967478670572,128.0
Abbotsford,3.0,h,1200000.0,S,Jellis,16/07/2016,2.500000000000001,3067.0,3.0,2.0,1.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,4.736198448394496,4.709530201312334,138.0
Abbotsford,3.0,h,1176500.0,S,LITTLE,16/07/2016,2.500000000000001,3067.0,2.0,1.0,1.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,4.9344739331306915,4.663439094112067,128.0
Abbotsford,3.0,h,955000.0,S,Collins,17/09/2016,2.500000000000001,3067.0,3.0,1.0,0.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,5.214935757608986,4.597142266525993,122.07199006151086
Abbotsford,2.0,h,890000.0,S,Biggin,17/09/2016,2.500000000000001,3067.0,2.0,1.0,1.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,5.017279836814924,4.30406509320417,33.0
Abbotsford,4.0,h,1330000.0,PI,Kay,18/03/2017,2.500000000000001,3067.0,4.0,2.0,2.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,6.660575149839686,4.912654885736052,118.0
Abbotsford,3.0,t,900000.0,S,Beller,18/03/2017,2.500000000000001,3067.0,3.0,2.0,2.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,5.393572356148008,4.30138475798738,8.0
Abbotsford,3.0,u,1090000.0,S,Jellis,18/03/2017,2.500000000000001,3067.0,3.0,2.0,2.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,5.746107598049082,3.332204510175204,12.963730883934431
Abbotsford,2.0,u,500000.0,S,Collins,18/06/2016,2.500000000000001,3067.0,2.0,1.0,1.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,6.476616247585642,4.110873864173311,48.0
Abbotsford,2.0,h,1100000.0,PI,Biggin,18/06/2016,2.500000000000001,3067.0,2.0,2.0,1.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,4.8283137373023015,4.912654885736052,5.0
Abbotsford,2.0,h,1315000.0,S,Marshall,19/11/2016,2.500000000000001,3067.0,2.0,1.0,0.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,4.997212273764115,4.454347296253507,118.0
Abbotsford,1.0,u,426000.0,SP,Greg,22/08/2016,2.500000000000001,3067.0,1.0,1.0,1.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,6.830192723784317,3.960303859918624,19.622995877086623
Abbotsford,3.0,h,1447500.0,PI,Nelson,22/08/2016,2.500000000000001,3067.0,3.0,3.0,1.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,5.117993812416755,5.1647859739235145,6.0
Abbotsford,1.0,u,457000.0,S,Jellis,22/08/2016,2.500000000000001,3067.0,1.0,1.0,1.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,6.8467191576226245,3.9318256327243257,13.225782119865698
Abbotsford,2.0,h,1135000.0,S,Nelson,22/08/2016,2.500000000000001,3067.0,2.0,2.0,2.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,4.59511985013459,4.859812404361672,98.0
Abbotsford,4.0,h,1542000.0,S,Collins,24/09/2016,2.500000000000001,3067.0,4.0,3.0,1.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,5.210768285292754,5.235216429851335,84.32384702910326
Abbotsford,3.0,h,1290000.0,S,Biggin,25/02/2017,2.500000000000001,3067.0,3.0,2.0,2.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,4.997212273764115,2.9444389791664403,32.56555322922395
Abbotsford,3.0,h,1290000.0,S,Biggin,25/02/2017,2.500000000000001,3067.0,3.0,1.0,1.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,5.1298987149230735,4.8283137373023015,68.0
Abbotsford,1.0,u,470000.0,S,Nelson,26/07/2016,2.500000000000001,3067.0,1.0,1.0,1.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,7.55940949805393,3.9318256327243257,5.0
Abbotsford,2.0,h,1180000.0,S,Jellis,27/11/2016,2.500000000000001,3067.0,2.0,1.0,0.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,5.093750200806762,4.5217885770490405,118.0
Abbotsford,3.0,h,1195000.0,SP,Jellis,27/11/2016,2.500000000000001,3067.0,3.0,2.0,1.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,4.795790545596741,4.859812404361672,20.0
Abbotsford,2.0,h,1012500.0,S,Nelson,28/05/2016,2.500000000000001,3067.0,2.0,1.0,0.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,5.209486152841421,4.418840607796598,118.0
Abbotsford,2.0,h,1030000.0,S,Biggin,30/07/2016,2.500000000000001,3067.0,2.0,1.0,1.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,5.153291594497779,4.406719247264253,88.0
Airport West,3.0,t,840000.0,PI,Nelson,3/09/2016,13.5,3042.0,3.0,2.0,1.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,5.717027701406222,5.420534999272286,2.0
Airport West,3.0,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,5.6246280292675275,4.983606621708336,53.0
Airport West,3.0,h,770000.0,SP,Nelson,4/03/2017,13.5,3042.0,3.0,2.0,1.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,5.68487586300259,4.983606621708336,53.0
Airport West,2.0,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,5.60947179518496,4.442651256490317,68.0
Airport West,3.0,t,700000.0,S,Brad,4/03/2017,13.5,3042.0,3.0,2.0,2.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,5.480638923341991,4.90527477843843,9.0
Airport West,3.0,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,5.673323267171493,4.762173934797756,38.0
Airport West,2.0,u,500000.0,VB,Barry,4/03/2017,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,5.1298987149230735,4.465908118654584,7.0
Airport West,3.0,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,6.431331081933479,4.675348412252398,53.90398680595149
Airport West,4.0,h,785000.0,S,Considine,6/08/2016,13.5,3042.0,3.0,1.0,2.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,6.393590753950631,4.852030263919617,52.19043986895599
Airport West,6.0,h,725000.0,SP,Barry,7/05/2016,13.5,3042.0,6.0,3.0,2.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,6.884486652042782,5.231108616854587,38.0
Airport West,2.0,t,450000.0,S,Barry,7/05/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,4.709530201312334,4.51085950651685,3.0
Airport West,2.0,u,515000.0,S,Barry,7/11/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,4.955827057601261,4.30406509320417,5.0
Airport West,2.0,u,530000.0,S,Nelson,10/09/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,4.795790545596741,4.553876891600541,6.0
Airport West,3.0,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,3.0,1.0,6.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,6.96979066990159,4.897839799950911,43.0
Airport West,3.0,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,6.467475055720942,4.663439094112067,68.0
Airport West,3.0,u,752000.0,S,Nelson,11/02/2017,13.5,3042.0,3.0,1.0,1.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,5.583496308781699,4.875197323201151,25.0
Airport West,2.0,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,5.262690188904886,4.364892292152987,23.846766230645926
Airport West,5.0,h,755000.0,PI,Propertyau,14/05/2016,13.5,3042.0,3.0,2.0,2.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,6.391917113392602,5.400102566587423,25.12434159669283
Airport West,3.0,t,700000.0,PI,Brad,15/10/2016,13.5,3042.0,3.0,2.0,2.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,5.111987788356544,4.897839799950911,9.0
Airport West,3.0,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,3.0,1.0,2.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,6.879355804460439,4.736198448394496,58.0
Airport West,2.0,u,462500.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,5.10594547390058,4.427984860315813,15.0
Airport West,3.0,h,670000.0,SP,Barry,16/07/2016,13.5,3042.0,3.0,2.0,2.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,6.489204931325317,5.075397548277169,32.77171963220053
Airport West,2.0,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,6.418364935936212,4.61512051684126,43.0
Airport West,3.0,h,1042000.0,S,Nelson,16/07/2016,13.5,3042.0,3.0,2.0,5.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,6.418364935936212,5.1647859739235145,68.0
Airport West,3.0,h,910000.0,S,McDonald,17/09/2016,13.5,3042.0,3.0,1.0,1.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,6.654152520183219,4.754238320362311,61.33246275213105
Airport West,4.0,h,773000.0,S,Brad,17/09/2016,13.5,3042.0,5.0,3.0,4.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,6.2766434893416445,5.736572297479192,38.0
Airport West,3.0,h,810000.0,PI,Barry,18/03/2017,13.5,3042.0,3.0,3.0,2.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,6.320768294250582,5.262690188904886,38.0
Airport West,3.0,h,715000.0,S,Rendina,18/03/2017,13.5,3042.0,3.0,2.0,2.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,6.0473721790462776,4.844187086458591,23.0
Airport West,3.0,h,790000.0,S,Nelson,18/03/2017,13.5,3042.0,3.0,1.0,3.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,6.421622267806518,4.698898888084171,55.21196840810194
Airport West,3.0,t,540000.0,SP,Nelson,18/06/2016,13.5,3042.0,2.0,2.0,1.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,5.087596335232384,4.624972813284271,8.0
Airport West,3.0,t,825000.0,SP,Barry,19/11/2016,13.5,3042.0,3.0,2.0,1.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,5.683579767338681,4.634728988229636,58.0
Airport West,3.0,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,3.0,1.0,1.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,6.363028103540465,4.736198448394496,43.0
Airport West,3.0,h,805000.0,S,Barry,22/08/2016,13.5,3042.0,3.0,1.0,1.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,6.436150368369428,4.684212207515194,62.90850349865923
Airport West,2.0,u,510000.0,S,Nelson,22/08/2016,13.5,3042.0,2.0,1.0,1.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,4.955827057601261,4.343805421853684,16.99832677762788
Airport West,3.0,h,612000.0,S,Nelson,22/08/2016,13.5,3042.0,3.0,2.0,1.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,5.3612921657094255,4.892680549292998,38.126904272987076
Airport West,3.0,h,662000.0,S,Brad,23/04/2016,13.5,3042.0,3.0,1.0,2.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,6.418364935936212,4.527115937867795,45.04607372894861
Airport West,4.0,h,978000.0,S,Nelson,24/09/2016,13.5,3042.0,4.0,3.0,2.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,6.278521424165844,5.578782715869444,24.312976072009633
Airport West,3.0,h,720000.0,PI,Nelson,25/02/2017,13.5,3042.0,3.0,1.0,1.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,6.373319789577012,4.7649320932084285,54.533321401039075
Airport West,4.0,h,765000.0,S,Prof.,27/11/2016,13.5,3042.0,4.0,1.0,2.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,6.234410725718371,5.098136322340373,55.0446267548773
Airport West,4.0,h,900000.0,S,Harcourts,27/11/2016,13.5,3042.0,4.0,2.0,3.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,6.444131256700441,4.990432586778736,43.0
Albert Park,2.0,h,1275000.0,S,hockingstuart,3/09/2016,3.3,3206.0,2.0,1.0,0.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0,4.795790545596741,4.418840607796598,118.0
